feature,importance_mean,importance_std
products_promoted,81659939.4381471,5010953.019117974
campaign_intensity,43361997.25606451,11486809.127956865
avg_views,34325922.63652947,7285433.917805074
planned_live_sessions,33916711.65397429,4637789.237198564
creator_power_score,31385202.8034134,7999453.214215685
brand_name,17940286.04817573,1950125.5243167244
log_avg_views,16908296.3895863,5466729.630138846
planned_reach,14337608.332632035,1991507.4890712744
log_followers,7376401.319246493,3504831.0231569326
product_price,6183393.828290723,3506733.6761065177
views_per_follower,5315425.275709279,2968506.8145404966
engaged_views,5156559.655936994,2827451.028180021
log_product_price,1993083.955658041,836826.2688815704
discounted_price,507210.55073183775,262241.5329210349
creator_tier,443491.0602806732,79846.12171804778
discount_rate,0.0,0.0
campaign_duration_days,0.0,0.0
brand_fit_score,0.0,0.0
product_category,0.0,0.0
engagement_rate,0.0,0.0
historical_conversion_rate,0.0,0.0
creator_niche,0.0,0.0
brand_fit_interaction,-335203.6582772732,352167.1150737006
planned_posts,-667472.4252704233,1698775.7939863023
followers,-5116252.430190675,9484855.575122394
