revenue_rank,creator_id,creator_name,campaigns_observed,brands_observed,followers,avg_views,creator_power_score,mean_predicted_revenue,median_predicted_revenue,mean_actual_revenue,total_actual_revenue,mean_expected_orders,mean_expected_roi_pct,median_absolute_percentage_error
1,cocoon.vietnam,cocoon.vietnam,1,1,623900.0,208827.02450980392,54.1626028892096,13839627382.499693,13839627382.499693,65036659837.19,65036659837.19,61729.0,30955.422881069997,78.7202672813376
2,cerave.vietnam_official,cerave.vietnam_official,1,1,456900.0,123628.64563106796,52.70369946962098,10366203650.816586,10366203650.816586,7548592408.62,7548592408.62,54568.0,31663.37297251744,37.32631316772459
3,lorealparis_vn,lorealparis_vn,1,1,615200.0,59541.29542302358,51.80526541338817,8316469126.613455,8316469126.613455,12555198152.39,12555198152.39,30383.0,18825.644956532567,33.76074972556019
4,olayvietnam,olayvietnam,1,1,297600.0,476768.84821428574,54.55096969666631,7722383497.697785,7722383497.697785,8204124653.54,8204124653.54,21849.0,36228.416991857855,5.871938521001725
5,larocheposayvn,larocheposayvn,1,1,531300.0,26028.291666666668,50.03772161218747,6506735963.983593,6506735963.983593,6709930268.62,6709930268.62,11294.0,17045.549312209732,3.0282625377893373
6,focallure.vn,focallure.vn,1,1,592300.0,56287.28571428572,51.641823885811256,5898439253.5838585,5898439253.5838585,4274825969.64,4274825969.64,3619.0,13841.946572712144,37.980804259046586
7,3ce_vietnam,3ce_vietnam,1,1,433300.0,177238.29320987657,53.2918867690769,5749746851.233029,5749746851.233029,9260949938.39,9260949938.39,66325.0,18477.534252772308,37.914070484300524
8,merzy_vn,merzy_vn,1,1,149800.0,63210.625,49.7254916333588,4985669894.073927,4985669894.073927,3027637411.82,3027637411.82,26587.0,46495.04573900866,64.671960869875
9,judydoll_vn,judydoll_vn,1,1,268100.0,25144.533604887984,48.91256450496326,4490367172.664831,4490367172.664831,3970058120.24,3970058120.24,5057.0,23348.39254655264,13.105829604161498
10,quynhanh_23291702,quynhanh_23291702,1,1,859700.0,72349.4827586207,52.686941948326805,4011479658.6956625,4011479658.6956625,8509390630.44,8509390630.44,18451.0,6432.5945355053245,52.85820297935672
11,pantene_vietnam,pantene_vietnam,1,1,100400.0,373110.3296703297,52.40932413105648,3658112369.0618234,3658112369.0618234,655022846.91,655022846.91,10350.0,50909.53502675849,458.47095812284664
12,maybelline_vn,maybelline_vn,1,1,554500.0,158185.9927927928,53.462763750056865,3637096695.7982273,3637096695.7982273,5521493447.2,5521493447.2,22935.0,9082.9312427728,34.12838880316642
13,colorkey_luminous.vn,colorkey_luminous.vn,1,1,218200.0,32767.701986754968,49.08598008211113,3568808869.517032,3568808869.517032,7327877135.19,7327877135.19,35817.0,22797.948750338426,51.298189043333366
